Gender,Incurred_Age_Bucket,Incurred_Year_Bucket,Claim_Type,Region,Diagnosis_Category,Claim_Duration,Exposure,Deaths,Recovery,Terminations,Benefit_Expiry,Others_Terminations
Male,Unknown,2013-2014,Other,Unknown,Unknown, 48,10,0,0,0,0,0
Male,Unknown, < 2001,ALF,Unknown,Unknown, 74,30,0,0,0,0,0
Male,Unknown,2005-2006,HCC,Unknown,Unknown,  1,50,2,2,4,0,0
Female,Unknown,2003-2004,HCC,Unknown,Unknown, 10,64,0,1,1,0,0
Female,Unknown,2009-2010,HCC,Unknown,Unknown, 28,56,0,1,1,1,0
Male,Unknown,2015-2016,ALF,Unknown,Unknown, 24,20,0,0,0,0,0
Male,Unknown, < 2001,Other,Unknown,Unknown, 50,42,0,1,1,0,0
Male,Unknown,2001-2002,Other,Unknown,Unknown, 10,40,0,0,0,0,0
Female,Unknown,2005-2006,Other,Unknown,Unknown, 76,22,0,0,0,0,0
Male,Unknown,Unknown,Other,Unknown,Unknown,271,3,0,0,0,0,0
Female,Unknown,2009-2010,ALF,Unknown,Unknown, 73,50,1,0,1,0,0
Male,Unknown,Unknown,HCC,Unknown,Unknown,145,102,1,0,1,0,0
Male,Unknown,2001-2002,NH,Unknown,Unknown, 32,48,0,0,0,0,0
Female,Unknown,2003-2004,Other,Unknown,Unknown, 54,24,0,0,0,0,0
Male,Unknown,2015-2016,HCC,Unknown,Unknown,  7,67,0,0,1,0,1
Male,Unknown,Unknown,ALF,Unknown,Unknown,182,5,0,0,0,0,0
Male,Unknown,2007-2008,NH,Unknown,Unknown, 85,44,1,0,1,0,0
Female,Unknown,2009-2010,NH,Unknown,Unknown, 36,40,1,0,1,0,0
Female,Unknown,2001-2002,Other,Unknown,Unknown, 64,17,1,0,1,0,0
Female,Unknown,2007-2008,HCC,Unknown,Unknown, 42,73,1,1,2,0,0
Female,Unknown,2015-2016,Other,Unknown,Unknown, 12,64,3,5,8,0,0
Male,Unknown, < 2001,HCC,Unknown,Unknown, 60,47,0,0,0,0,0
Female,Unknown,2003-2004,Other,Unknown,Unknown, 25,38,1,1,2,0,0
Male,Unknown, < 2001,NH,Unknown,Unknown,108,28,0,0,0,0,0
Male,Unknown,Unknown,ALF,Unknown,Unknown,157,13,0,0,0,0,0
Male,Unknown,2011-2012,HCC,Unknown,Unknown,  4,51,1,0,1,0,0
Male,Unknown,2001-2002,NH,Unknown,Unknown, 26,51,2,1,3,0,0
Male,Unknown,2009-2010,NH,Unknown,Unknown, 63,53,2,0,2,0,0
Male,Unknown,2007-2008,ALF,Unknown,Unknown, 56,47,0,0,0,0,0
Female,Unknown,2005-2006,ALF,Unknown,Unknown,115,38,0,0,0,0,0
Male,Unknown,2003-2004,NH,Unknown,Unknown, 86,40,1,0,1,0,0
Male,Unknown,2005-2006,NH,Unknown,Unknown,100,50,2,0,2,0,0
Female,Unknown,2001-2002,HCC,Unknown,Unknown, 45,58,0,0,0,1,0
Male,Unknown,Unknown,ALF,Unknown,Unknown,124,59,1,1,2,1,0
Female,Unknown, < 2001,NH,Unknown,Unknown, 38,49,0,1,1,1,0
Male,Unknown,2009-2010,NH,Unknown,Unknown, 87,38,0,0,0,0,0
Female,Unknown,2009-2010,Other,Unknown,Unknown, 66,30,0,1,1,0,0
Male,Unknown, < 2001,NH,Unknown,Unknown, 26,56,1,0,1,0,0
Female,Unknown,2001-2002,ALF,Unknown,Unknown, 94,40,1,0,1,0,0
Male,Unknown,2003-2004,ALF,Unknown,Unknown, 46,50,1,1,2,0,0
Female,Unknown,2011-2012,ALF,Unknown,Unknown, 38,43,0,0,0,0,0
Male,Unknown,2005-2006,NH,Unknown,Unknown, 45,65,0,0,0,0,0
Female,Unknown,2001-2002,HCC,Unknown,Unknown,100,58,0,0,0,0,0
Female,Unknown, < 2001,ALF,Unknown,Unknown, 81,24,1,0,1,0,0
Male,Unknown,2009-2010,HCC,Unknown,Unknown, 56,76,1,0,1,0,0
Male,Unknown,2001-2002,NH,Unknown,Unknown,108,32,1,0,1,0,0
Female,Unknown,2005-2006,ALF,Unknown,Unknown, 76,41,0,0,0,0,0
Male,Unknown, < 2001,HCC,Unknown,Unknown,  9,58,0,0,0,0,0
Female,Unknown,2009-2010,Other,Unknown,Unknown, 56,25,0,0,0,0,0
Male,Unknown,2001-2002,HCC,Unknown,Unknown, 19,71,0,0,1,0,1
Male,Unknown,Unknown,Other,Unknown,Unknown,268,4,0,0,0,0,0
Female,Unknown,2001-2002,NH,Unknown,Unknown, 32,52,0,1,1,0,0
Female,Unknown,2005-2006,ALF,Unknown,Unknown,  5,55,3,0,3,0,0
Male,Unknown,2001-2002,Other,Unknown,Unknown, 55,20,0,1,1,0,0
Female,Unknown,2009-2010,HCC,Unknown,Unknown, 31,54,0,0,0,0,0
Female,Unknown,2001-2002,Other,Unknown,Unknown, 15,39,0,1,1,0,0
Male,Unknown,2011-2012,NH,Unknown,Unknown, 17,46,2,0,2,0,0
Male,Unknown, < 2001,HCC,Unknown,Unknown, 19,63,1,0,1,0,0
Female,Unknown,2001-2002,NH,Unknown,Unknown, 23,52,1,0,1,0,0
Female,Unknown,2009-2010,ALF,Unknown,Unknown, 17,59,4,0,4,0,0
Female,Unknown,2001-2002,ALF,Unknown,Unknown,102,35,1,0,1,0,0
Male,Unknown,2005-2006,NH,Unknown,Unknown, 33,59,3,1,4,0,0
Male,Unknown,2007-2008,NH,Unknown,Unknown, 75,49,2,0,2,0,0
Female,Unknown, < 2001,HCC,Unknown,Unknown,108,38,0,0,0,0,0
Female,Unknown,2007-2008,NH,Unknown,Unknown, 75,51,0,0,0,0,0
Female,Unknown,Unknown,HCC,Unknown,Unknown,191,36,0,0,0,0,0
Male,Unknown,2015-2016,Other,Unknown,Unknown, 13,48,0,3,4,0,1
Male,Unknown, < 2001,ALF,Unknown,Unknown, 86,21,0,0,0,1,0
Female,Unknown,2005-2006,Other,Unknown,Unknown,  4,53,3,5,8,0,0
Female,Unknown, < 2001,HCC,Unknown,Unknown, 26,64,0,0,1,0,1
Female,Unknown,2011-2012,HCC,Unknown,Unknown, 66,59,3,0,4,1,1
Male,Unknown,Unknown,ALF,Unknown,Unknown,174,7,0,0,0,0,0
Male,Unknown,2005-2006,HCC,Unknown,Unknown, 42,67,1,0,1,0,0
Male,Unknown,Unknown,HCC,Unknown,Unknown,209,20,0,0,0,0,0
Female,Unknown,2007-2008,NH,Unknown,Unknown,  4,43,1,2,3,0,0
Female,Unknown,2003-2004,Other,Unknown,Unknown,101,21,0,0,0,0,0
Female,Unknown,2003-2004,NH,Unknown,Unknown, 37,72,1,0,1,0,0
Male,Unknown,2009-2010,NH,Unknown,Unknown, 77,46,0,0,0,0,0
Female,Unknown,Unknown,NH,Unknown,Unknown,180,41,0,0,0,0,0
Male,Unknown, < 2001,HCC,Unknown,Unknown, 72,40,0,0,0,0,0
Female,Unknown,2005-2006,Other,Unknown,Unknown, 75,22,0,0,0,0,0
Male,Unknown,2013-2014,HCC,Unknown,Unknown, 33,59,0,0,0,0,0
Female,Unknown,Unknown,HCC,Unknown,Unknown,179,62,0,1,1,0,0
Female,Unknown,2005-2006,ALF,Unknown,Unknown, 96,40,0,0,0,0,0
Male,Unknown,2003-2004,HCC,Unknown,Unknown, 74,55,1,0,1,0,0
Male,Unknown,Unknown,Other,Unknown,Unknown,164,18,0,0,0,0,0
Male,Unknown,2011-2012,Other,Unknown,Unknown, 71,10,3,0,3,0,0
Male,Unknown,2015-2016,HCC,Unknown,Unknown, 13,79,3,2,5,0,0
Male,Unknown,2011-2012,Other,Unknown,Unknown, 11,46,1,1,2,0,0
Male,Unknown,2003-2004,ALF,Unknown,Unknown, 79,27,1,0,1,0,0
Female,Unknown,2001-2002,NH,Unknown,Unknown, 82,45,0,0,0,0,0
Male,Unknown,2007-2008,ALF,Unknown,Unknown, 66,49,0,0,0,0,0
Male,Unknown,2011-2012,HCC,Unknown,Unknown, 39,71,1,0,1,1,0
Male,Unknown,2007-2008,NH,Unknown,Unknown, 96,35,0,0,0,0,0
Female,Unknown,2001-2002,NH,Unknown,Unknown, 62,46,2,0,2,1,0
Female,Unknown, < 2001,NH,Unknown,Unknown, 48,52,1,0,1,0,0
Female,Unknown, < 2001,Other,Unknown,Unknown, 29,40,0,0,0,0,0
